"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 12, 2022","42,086.00","42,381.00","42,971.00","41,438.00","1.74M","-0.70%"
"Feb 11, 2022","42,381.00","43,565.00","43,931.00","41,967.00","3.14M","-2.72%"
"Feb 10, 2022","43,565.00","44,302.00","45,671.00","43,213.00","3.64M","-1.66%"
"Feb 09, 2022","44,302.00","44,106.00","44,849.00","43,203.00","2.74M","0.44%"
"Feb 08, 2022","44,106.00","43,867.00","45,317.00","42,738.00","4.49M","0.54%"
"Feb 07, 2022","43,867.00","42,641.00","44,528.00","41,725.00","2.60M","2.88%"
"Feb 06, 2022","42,641.00","41,390.00","42,725.00","41,173.00","1.50M","3.02%"
"Feb 05, 2022","41,390.00","41,632.00","41,923.00","41,051.00","1.99M","-0.58%"
"Feb 04, 2022","41,632.00","37,365.00","41,684.00","37,084.00","4.10M","11.42%"
"Feb 03, 2022","37,365.00","36,874.00","37,400.00","36,280.00","1.07M","1.33%"
"Feb 02, 2022","36,874.00","38,705.00","38,854.00","36,680.00","1.75M","-4.73%"
"Feb 01, 2022","38,705.00","38,503.00","39,263.00","38,103.00","3.24M","0.52%"
"Jan 31, 2022","38,503.00","37,913.00","38,754.00","36,630.00","2.27M","1.56%"
"Jan 30, 2022","37,913.00","38,069.00","38,345.00","37,376.00","1.46M","-0.41%"
"Jan 29, 2022","38,069.00","37,858.00","38,748.00","37,372.00","2.59M","0.56%"
"Jan 28, 2022","37,858.00","37,102.00","37,969.00","36,191.00","1.92M","2.04%"
"Jan 27, 2022","37,102.00","36,853.00","37,200.00","35,424.00","2.89M","0.68%"
"Jan 26, 2022","36,853.00","36,963.00","38,924.00","36,290.00","4.59M","-0.30%"
"Jan 25, 2022","36,963.00","36,672.00","37,501.00","35,739.00","9.56M","0.79%"
"Jan 24, 2022","36,672.00","36,323.00","37,469.00","32,956.00","11.54M","0.96%"
"Jan 23, 2022","36,323.00","35,062.00","36,518.00","34,713.00","3.46M","3.60%"
"Jan 22, 2022","35,062.00","36,482.00","36,771.00","34,039.00","5.50M","-3.89%"
"Jan 21, 2022","36,482.00","40,713.00","41,008.00","35,543.00","30.93M","-10.39%"
"Jan 20, 2022","40,713.00","41,690.00","43,452.00","40,577.00","2.01M","-2.34%"
"Jan 19, 2022","41,690.00","42,504.00","42,554.00","41,212.00","3.25M","-1.92%"
"Jan 18, 2022","42,504.00","42,251.00","42,560.00","41,271.00","3.70M","0.60%"
"Jan 17, 2022","42,251.00","43,200.00","43,200.00","41,633.00","3.91M","-2.20%"
"Jan 16, 2022","43,200.00","43,182.00","43,481.00","42,634.00","1.37M","0.04%"
"Jan 15, 2022","43,182.00","43,110.00","43,746.00","42,585.00","6.04M","0.17%"
"Jan 14, 2022","43,110.00","42,668.00","43,355.00","41,776.00","3.33M","1.04%"
"Jan 13, 2022","42,668.00","43,925.00","44,369.00","42,389.00","2.87M","-2.86%"
"Jan 12, 2022","43,925.00","42,696.00","44,255.00","42,484.00","2.91M","2.88%"
"Jan 11, 2022","42,696.00","41,857.00","43,042.00","41,300.00","1.91M","2.00%"
"Jan 10, 2022","41,857.00","41,821.00","42,191.00","39,637.00","4.72M","0.09%"
"Jan 09, 2022","41,821.00","41,690.00","42,772.00","41,269.00","3.05M","0.31%"
"Jan 08, 2022","41,690.00","41,546.00","42,272.00","40,550.00","3.61M","0.35%"
"Jan 07, 2022","41,546.00","43,119.00","43,119.00","40,763.00","7.81M","-3.65%"
"Jan 06, 2022","43,119.00","43,517.00","43,798.00","42,462.00","4.54M","-0.91%"
"Jan 05, 2022","43,517.00","46,053.00","47,043.00","42,489.00","11.72M","-5.51%"
"Jan 04, 2022","46,053.00","46,416.00","47,475.00","45,543.00","4.43M","-0.78%"
"Jan 03, 2022","46,416.00","47,378.00","47,606.00","45,713.00","6.16M","-2.03%"
"Jan 02, 2022","47,378.00","47,721.00","47,991.00","46,722.00","7.04M","-0.72%"
"Jan 01, 2022","47,721.00","46,241.00","47,914.00","46,241.00","1.95M","3.20%"
"Dec 31, 2021","46,241.00","47,113.00","48,485.00","45,720.00","2.69M","-1.85%"
"Dec 30, 2021","47,113.00","46,368.00","47,937.00","45,770.00","2.04M","1.61%"
"Dec 29, 2021","46,368.00","47,518.00","48,110.00","46,005.00","2.35M","-2.42%"
"Dec 28, 2021","47,518.00","50,666.00","50,683.00","47,287.00","3.49M","-6.21%"
"Dec 27, 2021","50,666.00","50,752.00","52,064.00","50,444.00","1.58M","-0.17%"
"Dec 26, 2021","50,752.00","50,433.00","51,217.00","49,496.00","2.24M","0.63%"
"Dec 25, 2021","50,433.00","50,763.00","51,178.00","50,207.00","2.30M","-0.65%"
"Dec 24, 2021","50,763.00","50,815.00","51,847.00","50,474.00","3.17M","-0.03%"
"Dec 23, 2021","50,778.00","48,660.00","51,284.00","48,083.00","1.54M","4.35%"
"Dec 22, 2021","48,660.00","48,996.00","49,605.00","48,469.00","2.49M","-0.69%"
"Dec 21, 2021","48,996.00","46,909.00","49,266.00","46,689.00","3.09M","4.45%"
"Dec 20, 2021","46,909.00","46,924.00","47,475.00","45,690.00","3.45M","-0.03%"
"Dec 19, 2021","46,924.00","47,001.00","48,331.00","46,596.00","12.19M","-0.16%"
"Dec 18, 2021","47,001.00","46,186.00","47,320.00","45,720.00","6.26M","1.76%"
"Dec 17, 2021","46,186.00","47,771.00","47,938.00","45,483.00","4.22M","-3.32%"
"Dec 16, 2021","47,771.00","48,791.00","49,433.00","47,630.00","5.07M","-2.09%"
"Dec 15, 2021","48,791.00","48,457.00","49,460.00","46,569.00","4.43M","0.69%"
"Dec 14, 2021","48,457.00","46,736.00","48,617.00","46,353.00","4.83M","3.68%"
"Dec 13, 2021","46,736.00","50,278.00","50,278.00","45,882.00","4.62M","-7.04%"
"Dec 12, 2021","50,278.00","49,270.00","50,760.00","48,685.00","1.32M","2.05%"
"Dec 11, 2021","49,270.00","46,999.00","49,275.00","46,883.00","2.13M","4.83%"
"Dec 10, 2021","46,999.00","47,599.00","50,050.00","46,745.00","3.18M","-1.26%"
"Dec 09, 2021","47,599.00","50,591.00","50,811.00","47,351.00","6.52M","-5.91%"
"Dec 08, 2021","50,591.00","50,523.00","51,181.00","48,775.00","3.15M","0.13%"
"Dec 07, 2021","50,523.00","50,437.00","51,950.00","50,105.00","4.62M","0.17%"
"Dec 06, 2021","50,437.00","49,135.00","50,896.00","47,133.00","6.51M","2.65%"
"Dec 05, 2021","49,135.00","49,266.00","50,039.00","47,248.00","3.15M","-0.27%"
"Dec 04, 2021","49,266.00","53,576.00","55,073.00","42,582.00","7.20M","-8.04%"
"Dec 03, 2021","53,576.00","56,496.00","57,610.00","51,930.00","5.11M","-5.17%"
"Dec 02, 2021","56,496.00","57,088.00","57,404.00","55,850.00","7.57M","-1.04%"
"Dec 01, 2021","57,088.00","56,866.00","59,048.00","56,550.00","14.88M","0.39%"
"Nov 30, 2021","56,866.00","57,807.00","59,259.00","55,920.00","11.85M","-1.63%"
"Nov 29, 2021","57,807.00","57,259.00","58,837.00","56,888.00","12.72M","0.96%"
"Nov 28, 2021","57,259.00","54,566.00","57,489.00","52,940.00","6.92M","4.94%"
"Nov 27, 2021","54,566.00","53,533.00","55,299.00","53,533.00","5.62M","1.93%"
"Nov 26, 2021","53,533.00","58,897.00","59,174.00","53,533.00","8.77M","-9.11%"
"Nov 25, 2021","58,897.00","56,963.00","59,439.00","56,963.00","9.59M","3.40%"
"Nov 24, 2021","56,963.00","57,763.00","57,763.00","55,698.00","12.74M","-1.38%"
"Nov 23, 2021","57,763.00","56,376.00","57,873.00","55,499.00","17.60M","2.46%"
"Nov 22, 2021","56,376.00","58,689.00","59,572.00","55,662.00","10.23M","-3.94%"
"Nov 21, 2021","58,689.00","59,623.00","60,070.00","58,516.00","8.77M","-1.57%"
"Nov 20, 2021","59,623.00","58,117.00","59,849.00","57,486.00","3.11M","2.59%"
"Nov 19, 2021","58,117.00","57,000.00","58,267.00","55,317.00","8.11M","2.21%"
"Nov 18, 2021","56,862.00","60,447.00","61,017.00","56,168.00","10.62M","-5.93%"
"Nov 17, 2021","60,447.00","60,136.00","60,805.00","58,467.00","6.78M","0.52%"
"Nov 16, 2021","60,136.00","63,992.00","63,992.00","57,798.00","8.99M","-6.03%"
"Nov 15, 2021","63,992.00","65,421.00","66,383.00","63,315.00","9.42M","-2.18%"
"Nov 14, 2021","65,421.00","64,439.79","65,421.00","63,622.77","4.85M","1.52%"
"Nov 13, 2021","64,439.79","64,200.90","64,977.27","63,393.54","-","0.37%"
"Nov 12, 2021","64,200.90","64,837.98","65,474.47","62,327.10","-","-0.98%"
"Nov 11, 2021","64,837.98","64,996.75","65,603.27","64,118.59","-","-0.24%"
"Nov 10, 2021","64,996.75","66,972.54","69,026.91","62,957.84","-","-2.95%"
"Nov 09, 2021","66,972.54","67,545.58","68,510.27","66,336.20","-","-0.85%"
"Nov 08, 2021","67,545.58","63,292.22","67,820.34","63,289.05","-","6.72%"
"Nov 07, 2021","63,292.22","61,484.33","63,292.22","61,333.54","-","2.94%"
"Nov 06, 2021","61,484.33","61,031.12","61,560.00","60,111.18","-","0.74%"
"Nov 05, 2021","61,031.12","61,408.84","62,528.12","60,740.74","-","-0.62%"
"Nov 04, 2021","61,408.84","62,951.54","63,070.62","60,774.61","-","-2.45%"
"Nov 03, 2021","62,951.54","63,196.46","63,507.94","60,925.70","-","-0.39%"
"Nov 02, 2021","63,196.46","60,968.92","64,248.55","60,667.07","-","3.65%"
"Nov 01, 2021","60,968.92","61,327.41","62,431.34","59,609.66","-","-0.58%"
"Oct 31, 2021","61,327.41","61,899.75","62,411.11","60,000.00","-","-0.92%"
"Oct 30, 2021","61,899.75","62,249.54","62,327.10","60,873.40","-","-0.56%"
"Oct 29, 2021","62,249.54","60,626.89","62,967.27","60,373.95","-","2.68%"
"Oct 28, 2021","60,626.89","58,428.74","62,116.70","58,117.38","-","3.76%"
"Oct 27, 2021","58,428.74","60,325.50","61,527.35","58,109.75","-","-3.14%"
"Oct 26, 2021","60,325.50","63,138.80","63,298.55","59,982.02","-","-4.46%"
"Oct 25, 2021","63,138.80","60,940.93","63,722.93","60,682.23","-","3.61%"
"Oct 24, 2021","60,940.93","61,376.46","61,527.35","59,556.55","-","-0.71%"
"Oct 23, 2021","61,376.46","60,706.92","61,762.34","59,770.01","-","1.10%"
"Oct 22, 2021","60,706.92","62,223.26","63,738.85","60,093.09","-","-2.44%"
"Oct 21, 2021","62,223.26","66,079.21","66,692.20","62,113.59","-","-5.84%"
"Oct 20, 2021","66,079.21","64,299.48","67,004.69","63,610.93","-","2.77%"
"Oct 19, 2021","64,299.48","62,087.47","64,465.20","61,452.70","-","3.56%"
"Oct 18, 2021","62,087.47","61,566.16","62,648.71","60,084.09","-","0.85%"
"Oct 17, 2021","61,566.16","60,922.66","61,642.02","59,186.39","-","1.06%"
"Oct 16, 2021","60,922.66","61,689.27","62,339.56","60,219.75","-","-1.24%"
"Oct 15, 2021","61,689.27","57,338.11","62,967.27","56,908.42","-","7.59%"
"Oct 14, 2021","57,338.11","57,433.98","58,548.86","56,957.88","-","-0.17%"
"Oct 13, 2021","57,433.98","56,047.62","57,738.02","54,340.03","-","2.47%"
"Oct 12, 2021","56,047.62","57,502.87","57,657.06","54,410.00","-","-2.53%"
"Oct 11, 2021","57,502.87","54,756.43","57,798.96","54,514.98","-","5.02%"
"Oct 10, 2021","54,756.43","54,961.54","56,461.63","54,083.29","-","-0.37%"
"Oct 09, 2021","54,961.54","53,964.40","55,423.82","53,732.54","-","1.85%"
"Oct 08, 2021","53,964.40","53,803.12","55,984.89","53,695.65","-","0.30%"
"Oct 07, 2021","53,803.12","55,340.34","55,340.34","53,512.57","-","-2.78%"
"Oct 06, 2021","55,340.34","51,490.73","55,558.33","50,461.66","-","7.48%"
"Oct 05, 2021","51,490.73","49,241.75","51,864.63","49,067.71","-","4.57%"
"Oct 04, 2021","49,241.75","48,200.00","49,482.93","46,972.76","-","2.16%"
"Oct 03, 2021","48,200.00","47,699.09","49,157.25","47,176.89","-","1.05%"
"Oct 02, 2021","47,699.09","48,151.18","48,272.20","47,440.70","-","-0.94%"
"Oct 01, 2021","48,151.18","43,782.84","48,407.55","43,290.04","-","9.98%"
"Sep 30, 2021","43,782.84","41,564.84","44,098.32","41,409.94","-","5.34%"
"Sep 29, 2021","41,564.84","40,979.51","42,563.83","40,814.29","-","1.43%"
"Sep 28, 2021","40,979.51","42,209.79","42,751.18","40,912.44","-","-2.91%"
"Sep 27, 2021","42,209.79","43,161.41","44,289.20","42,136.54","-","-2.20%"
"Sep 26, 2021","43,161.41","42,659.98","43,881.09","40,762.33","-","1.18%"
"Sep 25, 2021","42,659.98","42,808.22","42,932.59","41,697.25","-","-0.35%"
"Sep 24, 2021","42,808.22","44,856.44","45,060.84","40,883.07","-","-4.57%"
"Sep 23, 2021","44,856.44","43,547.47","44,916.89","43,082.72","-","3.01%"
"Sep 22, 2021","43,547.47","40,669.24","43,949.45","40,586.68","-","7.08%"
"Sep 21, 2021","40,669.24","42,852.55","43,568.63","39,633.23","-","-5.09%"
"Sep 20, 2021","42,852.55","47,222.48","47,311.88","42,556.41","-","-9.25%"
"Sep 19, 2021","47,222.48","48,271.37","48,318.03","46,843.95","-","-2.17%"
"Sep 18, 2021","48,271.37","47,288.42","48,768.89","47,097.46","-","2.08%"
"Sep 17, 2021","47,288.42","47,769.82","48,160.81","46,801.59","-","-1.01%"
"Sep 16, 2021","47,769.82","48,191.23","48,502.18","47,048.45","-","-0.87%"
"Sep 15, 2021","48,191.23","47,061.18","48,440.68","46,733.64","-","2.40%"
"Sep 14, 2021","47,061.18","44,912.40","47,229.57","44,691.55","-","4.78%"
